timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766484762.7698503,2025-12-23 18:12:42,85.0,59.2,60.0
1766484770.3478725,2025-12-23 18:12:50,83.0,59.2,60.0
1766484779.3102746,2025-12-23 18:12:59,83.0,59.2,60.0
1766484788.8013046,2025-12-23 18:13:08,83.0,59.2,60.0
1766484799.1722543,2025-12-23 18:13:19,82.0,59.2,60.0
1766484808.0923216,2025-12-23 18:13:28,85.0,59.2,60.0
1766484817.0147007,2025-12-23 18:13:37,83.0,59.2,60.0
1766484823.3265316,2025-12-23 18:13:43,83.0,59.2,60.0
1766484828.5830467,2025-12-23 18:13:48,85.0,59.2,60.0
1766484837.7885492,2025-12-23 18:13:57,83.0,59.2,60.0
1766484844.9850366,2025-12-23 18:14:04,85.0,59.2,60.0
1766484854.3260927,2025-12-23 18:14:14,83.0,59.2,60.0
1766484863.6162353,2025-12-23 18:14:23,83.0,59.2,60.0
1766484872.5878289,2025-12-23 18:14:32,83.0,59.2,60.0
1766484881.9349535,2025-12-23 18:14:41,80.0,59.2,60.0
1766484892.6639066,2025-12-23 18:14:52,82.0,59.2,60.0
1766484902.2325397,2025-12-23 18:15:02,85.0,59.2,60.0
1766484916.065213,2025-12-23 18:15:16,82.0,59.2,60.0
1766484927.8865974,2025-12-23 18:15:27,82.0,59.2,60.0
1766484938.888386,2025-12-23 18:15:38,83.0,59.2,60.0
1766484948.696579,2025-12-23 18:15:48,83.0,59.2,60.0
1766484959.894812,2025-12-23 18:15:59,82.0,59.2,60.0
1766484969.4233813,2025-12-23 18:16:09,85.0,59.2,60.0
1766484977.1016715,2025-12-23 18:16:17,83.0,59.2,60.0
1766484986.3500755,2025-12-23 18:16:26,85.0,59.2,59.7
1766484997.089878,2025-12-23 18:16:37,85.0,59.2,60.0
1766485005.2791224,2025-12-23 18:16:45,85.0,59.2,60.0
1766485014.0533872,2025-12-23 18:16:54,83.0,59.2,59.7
1766485023.811589,2025-12-23 18:17:03,82.0,59.2,60.0
1766485035.2367587,2025-12-23 18:17:15,85.0,59.2,60.0
1766485043.4597404,2025-12-23 18:17:23,83.0,59.2,59.7
1766485051.4268665,2025-12-23 18:17:31,83.0,59.2,60.0
1766485058.9398904,2025-12-23 18:17:38,85.0,59.2,59.7
1766485066.5996711,2025-12-23 18:17:46,83.0,59.2,60.0
1766485075.1566787,2025-12-23 18:17:55,85.0,59.2,60.0
1766485082.9377341,2025-12-23 18:18:02,83.0,59.2,60.0
1766485090.6317184,2025-12-23 18:18:10,83.0,59.2,60.0
1766485099.094391,2025-12-23 18:18:19,83.0,59.2,60.0
1766485109.2783067,2025-12-23 18:18:29,83.0,59.2,59.7
1766485117.5658693,2025-12-23 18:18:37,83.0,59.2,60.0
1766485126.99005,2025-12-23 18:18:46,85.0,59.2,59.7
1766485137.2701933,2025-12-23 18:18:57,82.0,59.2,59.7
1766485145.6265628,2025-12-23 18:19:05,83.0,59.2,59.7
1766485155.4808326,2025-12-23 18:19:15,82.0,59.2,59.7
1766485163.5824597,2025-12-23 18:19:23,82.0,59.2,59.7
1766485171.1396842,2025-12-23 18:19:31,83.0,59.2,59.7
1766485181.0102367,2025-12-23 18:19:41,80.0,59.2,59.7
1766485191.916701,2025-12-23 18:19:51,82.0,59.2,59.7
1766485202.4844477,2025-12-23 18:20:02,83.0,59.2,59.7
1766485209.7489104,2025-12-23 18:20:09,83.0,59.2,59.7
1766485220.0613277,2025-12-23 18:20:20,83.0,59.2,59.7
1766485231.6768522,2025-12-23 18:20:31,80.0,59.2,59.7
1766485241.199069,2025-12-23 18:20:41,82.0,59.2,59.7
1766485250.9482324,2025-12-23 18:20:50,82.0,59.2,59.7
1766485260.4599042,2025-12-23 18:21:00,82.0,59.2,59.7
1766485266.4483068,2025-12-23 18:21:06,85.0,59.2,59.7
1766485274.4797597,2025-12-23 18:21:14,82.0,59.2,59.7
1766485283.4526553,2025-12-23 18:21:23,82.0,59.2,59.7
1766485289.113253,2025-12-23 18:21:29,83.0,59.2,59.7
1766485297.4866037,2025-12-23 18:21:37,83.0,59.2,59.7
1766485305.1883616,2025-12-23 18:21:45,83.0,59.2,59.7
1766485312.686156,2025-12-23 18:21:52,82.0,59.2,59.7
1766485322.5273178,2025-12-23 18:22:02,85.0,59.2,59.7
1766485331.5418024,2025-12-23 18:22:11,80.0,59.2,59.7
1766485338.7838233,2025-12-23 18:22:18,83.0,59.2,59.7
1766485348.5887969,2025-12-23 18:22:28,82.0,59.2,59.7
1766485354.2965906,2025-12-23 18:22:34,80.0,59.0,59.7
1766485362.3437731,2025-12-23 18:22:42,85.0,59.0,59.7
1766485369.764155,2025-12-23 18:22:49,80.0,59.0,59.7
1766485378.039936,2025-12-23 18:22:58,82.0,59.2,59.7
1766485386.7068129,2025-12-23 18:23:06,83.0,59.0,59.7
1766485395.9868636,2025-12-23 18:23:15,83.0,59.0,59.7
1766485407.5324745,2025-12-23 18:23:27,82.0,59.0,59.7
1766485419.6780434,2025-12-23 18:23:39,82.0,59.0,59.7
1766485431.0854952,2025-12-23 18:23:51,83.0,59.0,59.7
1766485440.1914237,2025-12-23 18:24:00,85.0,59.0,59.7
1766485449.5385816,2025-12-23 18:24:09,85.0,59.2,59.7
1766485458.0484118,2025-12-23 18:24:18,85.0,59.0,59.7
1766485467.2311983,2025-12-23 18:24:27,82.0,59.0,59.7
1766485478.3745756,2025-12-23 18:24:38,82.0,59.0,59.7
1766485486.627778,2025-12-23 18:24:46,83.0,59.0,59.7
1766485495.0627248,2025-12-23 18:24:55,83.0,59.0,59.7
1766485503.8179014,2025-12-23 18:25:03,83.0,59.0,59.7
1766485512.813959,2025-12-23 18:25:12,83.0,59.0,59.7
1766485522.098895,2025-12-23 18:25:22,83.0,59.0,59.7
1766485531.8992834,2025-12-23 18:25:31,82.0,59.0,59.7
1766485538.9025974,2025-12-23 18:25:38,83.0,59.0,59.7
1766485549.1336956,2025-12-23 18:25:49,83.0,59.0,59.7
1766485554.982119,2025-12-23 18:25:54,83.0,59.0,59.7
1766485561.707834,2025-12-23 18:26:01,83.0,59.0,59.7
1766485571.1591568,2025-12-23 18:26:11,83.0,59.0,59.7
1766485578.1569061,2025-12-23 18:26:18,83.0,59.0,59.7
1766485585.7391758,2025-12-23 18:26:25,82.0,59.0,59.7
1766485596.0656002,2025-12-23 18:26:36,80.0,59.0,59.7
1766485606.1487792,2025-12-23 18:26:46,79.0,59.0,59.7
1766485617.9166882,2025-12-23 18:26:57,80.0,59.0,59.7
1766485627.716083,2025-12-23 18:27:07,80.0,59.0,59.7
1766485636.0451171,2025-12-23 18:27:16,79.0,59.0,59.7
1766485645.0550807,2025-12-23 18:27:25,78.0,59.0,59.7
1766485659.2796285,2025-12-23 18:27:39,79.0,59.0,59.7
1766485669.7061143,2025-12-23 18:27:49,79.0,59.0,59.7
1766485680.9782703,2025-12-23 18:28:00,78.0,59.0,59.7
1766485691.3314679,2025-12-23 18:28:11,80.0,59.0,59.7
1766485703.330386,2025-12-23 18:28:23,79.0,59.0,59.7
1766485713.9425728,2025-12-23 18:28:33,80.0,59.0,59.7
1766485724.7015655,2025-12-23 18:28:44,82.0,59.0,59.7
1766485734.2076914,2025-12-23 18:28:54,82.0,59.0,59.7
1766485745.344199,2025-12-23 18:29:05,79.0,59.0,59.7
1766485757.0279818,2025-12-23 18:29:17,76.0,59.0,59.7
1766485768.749911,2025-12-23 18:29:28,80.0,59.0,59.7
1766485781.9963806,2025-12-23 18:29:41,80.0,59.0,59.7
1766485791.9690573,2025-12-23 18:29:51,82.0,59.0,59.7
1766485803.3293583,2025-12-23 18:30:03,80.0,59.0,59.7
1766485813.5885856,2025-12-23 18:30:13,80.0,59.0,59.7
1766485823.8485923,2025-12-23 18:30:23,79.0,59.0,59.7
1766485836.9986055,2025-12-23 18:30:36,79.0,59.0,59.7
1766485848.4047325,2025-12-23 18:30:48,80.0,59.0,59.7
1766485858.2378662,2025-12-23 18:30:58,78.0,59.0,59.7
